Territori;Tipus de territori;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Crecimiento_%
Gràcia;Districte;6.32;7.04;8.08;8.41;9.27;10.18;11.26;12.45;13.02;12.81;12.57;12.03;11.39;10.95;10.77;11.82;12.95;14.25;14.04;14.63;14.44;13.81;15.28;16.88;17.5;17.3;42.808798646362085
Vallcarca i els Penitents;Barri;;;;;;;;;;;;;;;10.26;11.55;12.65;14.11;13.61;14.04;14.37;13.73;14.73;16.78;17.76;17.82;45.28138528138528
el Coll;Barri;;;;;;;;;;;;;;;9.52;9.9;11.23;12.45;12.17;12.72;12.23;12.71;12.95;14.42;14.66;14.58;45.656565656565654
la Salut;Barri;;;;;;;;;;;;;;;9.97;11.28;12.11;12.34;12.84;13.15;13.64;12.58;13.51;15.34;16.42;15.41;35.99290780141845
la Vila de Gràcia;Barri;;;;;;;;;;;;;;;11.25;12.3;13.5;15.01;14.6;15.1;14.91;14.13;15.96;17.48;17.89;17.96;42.11382113821138
el Camp d'en Grassot i Gràcia Nova;Barri;;;;;;;;;;;;;;;10.36;11.33;12.48;13.57;13.82;14.73;14.08;13.73;15.14;16.69;17.48;16.84;47.3080317740512
Horta-Guinardó;Districte;5.75;6.45;7.09;7.65;8.28;9.18;10.18;11.08;12.04;11.39;10.8;10.57;10.1;9.32;9.03;9.92;10.73;11.88;11.87;12.71;12.78;12.22;13.1;14.48;14.5;14.56;45.96774193548387
el Baix Guinardó;Barri;;;;;;;;;;;;;;;9.56;10.57;11.43;12.59;12.66;13.5;13.76;12.64;14.04;15.48;15.72;15.61;46.45222327341533
Can Baró;Barri;;;;;;;;;;;;;;;9.42;10.09;11.5;12.42;12.15;13.4;12.95;12.53;13.68;14.97;15.72;16.39;48.36471754212092
el Guinardó;Barri;;;;;;;;;;;;;;;9.18;10.36;11.14;12.28;12.07;12.92;13.2;12.6;13.44;14.95;14.99;14.9;44.30501930501931
la Font d'en Fargues;Barri;;;;;;;;;;;;;;;9.26;11.37;11.89;13.11;12.1;12.85;12.9;12.14;13.51;15.5;15.6;14.24;36.323658751099394
el Carmel;Barri;;;;;;;;;;;;;;;8.63;9.11;9.82;11.01;11.33;12.09;11.98;11.77;12.68;13.5;13.56;13.56;48.1888035126235
la Teixonera;Barri;;;;;;;;;;;;;;;8.35;9.51;10.18;11.18;12.12;12.6;12.1;12.15;13.19;14.62;14.57;14.52;53.732912723449
Sant Genís dels Agudells;Barri;;;;;;;;;;;;;;;7.75;8.32;8.73;9.52;9.68;10.65;10.62;10.31;10.76;12.02;11.09;12.59;44.47115384615384
Montbau;Barri;;;;;;;;;;;;;;;9.27;10.07;10.29;12.52;11.02;11.88;11.89;11.19;11.89;13.77;13.64;14.61;36.742800397219455
la Vall d'Hebron;Barri;;;;;;;;;;;;;;;9.95;10.07;11.23;12.16;12.32;13.32;12.23;12.66;13.69;14.95;15.04;14.64;48.46077457795431
la Clota;Barri;;;;;;;;;;;;;;;10.45;7.97;12.32;15.07;7.97;11.45;11.45;12.1;;15.46;11.51;;93.97741530740278
Horta;Barri;;;;;;;;;;;;;;;8.94;9.52;10.6;11.65;11.8;12.46;12.63;11.95;12.45;13.92;14.23;13.8;46.21848739495799
Nou Barris;Districte;5.41;6.25;7.15;7.28;7.94;8.88;9.94;10.83;11.48;11.17;10.74;10.33;9.48;8.75;8.4;8.87;9.65;10.55;11.22;11.7;11.72;11.28;12.08;13.26;13.06;13.14;49.492671927846686
